idiom	meaning	example	origin	used_at	pronunciation_audio	tags	slugs
It's written all over your face.	["If%20you%20say%20%22it%27s%20written%20all%20over%20your%20face%22%2C%20you%27re%20saying%20that%20the%20expression%20on%20someone%27s%20face%20is%20showing%20their%20true%20feelings%20or%20thoughts.",""]	["I%20knew%20my%20son%20had%20stolen%20the%20money.%20The%20guilt%20was%20written%20all%20over%20his%20face.","I%20can%20tell%20something%20amazing%20has%20happened.%20It%27s%20written%20all%20over%20your%20face.%20Tell%20me%20what%20it%20is%21"]				body,i	it's written all over your face.
It never rains but it pours	["When%20troubles%20come%20they%20often%20come%20together."]	["The%20boiler%20broke%20down%2C%20the%20weather%20turned%20freezing%20and%20Jack%27s%20got%20the%20flu.%20It%20never%20rains%20but%20it%20pours%21"]	Britain, 18th century.	Worldwide, but somewhat old-fashioned.	https://www.phrases.org.uk/idioms/audio/it-never-rains-but-it-pours.mp3	weather,aphorism	it never rains but it pours
It takes two to tango	["It%20takes%20two%20people%20to%20cause%20a%20problem%20between%20them."]	["Maybe%20Jack%20did%20provoke%20the%20argument%20but%20he%20couldn%27t%20argue%20on%20his%20own%20could%20he%3F%20-%20it%20takes%20two%20to%20tango."]	USA, from a popular 1952 song of the same name.	Worldwide.	https://www.phrases.org.uk/idioms/audio/it-takes-two-to-tango.mp3	number,dance,adage,america	it takes two to tango
itchy feet	["If%20you%20have%20itchy%20feet%2C%20you%20feel%20the%20need%20to%20go%20somewhere%20different%20or%20do%20something%20different.",""]	["It%27s%20no%20wonder%20Ken%27s%20got%20itchy%20feet.%20He%27s%20been%20doing%20the%20same%20job%2C%20in%20the%20same%20office%2C%20for%20nearly%20twenty%20years.","Thanks%20to%20low-cost%20airlines%2C%20people%20with%20itchy%20feet%20who%20couldn%27t%20afford%20air%20fares%20in%20the%20past%20can%20now%20travel."]				body,british,i	itchy feet
Its not rocket science	["Said%20of%20something%20that%20isn%27t%20complex%20or%20difficult%20to%20understand."]	["A%20twenty%20page%20handbook%20of%20instructions%20to%20erect%20a%20tent%21%20How%20difficult%20can%20it%20be%3F%20Its%20not%20exactly%20rocket%20science."]	America, late 20th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/its-not-rocket-science.mp3	technology	its not rocket science
Ivy league	["The%20joint%20name%20given%20to%20Columbia%2C%20Brown%2C%20Cornell%2C%20Dartmouth%2C%20Yale%2C%20Pennsylvania%2C%20Princeton%2C%20and%20Harvard%20universities."]	["He%20had%20a%20good%20start%20to%20his%20academic%20career.%20He%20was%20an%20ivy%20leaguer."]	USA, 1930s.	USA.	https://www.phrases.org.uk/idioms/audio/ivy-league.mp3	education,america	ivy league
Jack Palancing	["Cockney%20rhyming%20slang%20for%20dancing."]	["Julie%20wants%20me%20to%20go%20with%20her%20to%20the%20ballroom%20for%20a%20night%20of%20Jack%20Palancing."]	Britain.	Mostly Britain.	https://www.phrases.org.uk/idioms/audio/jack-palancing.mp3	dance,cockney_rhyming_slang,name	jack palancing
Jam jar	["Cockney%20rhyming%20slang%20for%20car."]	["Check%20my%20new%20Audi.%20Its%20the%20best%20jam%20jar%20I%27ve%20ever%20owned."]	Britain.	Mostly Britain.	https://www.phrases.org.uk/idioms/audio/jam-jar.mp3	travel,food,cockney_rhyming_slang	jam jar
Jelly belly	["An%20overweight%20person."]	["I%20wish%20I%20could%20cut%20down%20on%20the%20cakes%20and%20get%20some%20more%20exercise%20-%20I%27m%20turning%20into%20a%20real%20jelly%20belly."]	Britain, late 19th century.	Worldwide, but not common everywhere. Most used in Britain and Australia.	https://www.phrases.org.uk/idioms/audio/jelly-belly.mp3	the_human_body,food,reduplication	jelly belly
Jimmy Riddle	["Cockney%20rhyming%20slang%20for%20piddle."]	["Now%20kids%2C%20this%20is%20going%20to%20be%20a%20long%20car%20trip%20and%20we%20don%27t%20want%20to%20be%20stopping%20every%20five%20minutes.%20Just%20go%20and%20have%20a%20Jimmy%20before%20we%20set%20off."]	Britain.	Mostly Britain.	https://www.phrases.org.uk/idioms/audio/jimmy-riddle.mp3	name,cockney_rhyming_slang	jimmy riddle
jobs for the boys	["If%20you%20say%20%22jobs%20for%20the%20boys%22%20you%27re%20referring%20to%20%20the%20fact%20that%20people%20in%20positions%20of%20power%20sometimes%20use%20their%20power%20to%20give%20jobs%20to%20their%20friends%20or%20family%20members.",""]	["Henry%20deserved%20the%20position%2C%20but%20it%20was%20a%20case%20of%20jobs%20for%20the%20boys%2C%20as%20usual%2C%20and%20one%20of%20the%20boss%27s%20old%20school%20friends%20got%20it%20instead%20of%20Henry.","The%20new%20government%20has%20promised%20to%20stop%20the%20old%20system%20of%20jobs%20for%20the%20boys%20when%20it%20comes%20to%20appointing%20departmental%20heads."]				british,j	jobs for the boys
jockey for position	["If%20you%20jockey%20for%20position%2C%20you%20try%20to%20get%20yourself%20in%20a%20good%20position%20in%20relation%20to%20others%20who%27re%20competing%20for%20the%20same%20opportunity%20or%20the%20same%20goal.",""]	["Several%20of%20us%20are%20jockeying%20for%20position%20as%20we%20negotiate%20with%20the%20manager%20for%20the%20job%20of%20running%20the%20new%20branch%20office.","Four%20candidates%20will%20jockey%20for%20position%20in%20the%20run-up%20to%20the%20Democratic%20convention%20next%20month."]	This phrase is borrowed from horse-racing and refers to the way the riders, or jockeys, compete with each other to get their horses into the best position as they approach the final sprint to the finish line.			american,j	jockey for position
jog your memory	["If%20something%20jogs%20your%20memory%2C%20it%20helps%20you%20to%20remember%20something.",""]	["The%20song%20really%20jogged%20my%20memory%20and%20I%20could%20clearly%20picture%20the%20scene%20thirty%20years%20ago%20when%20my%20friends%20and%20I%20first%20heard%20it.","The%20police%20had%20a%20sketch%20of%20the%20suspect%20drawn%20and%20showed%20it%20to%20people%20in%20the%20area%20in%20the%20hope%20of%20jogging%20their%20memories."]				j	jog your memory
joie de vivre	["If%20you%20have%20joie%20de%20vivre%2C%20you%20feel%20the%20joy%20of%20living.",""]	["People%20loved%20her%20because%20of%20her%20joie%20de%20vivre%20and%20the%20fact%20that%20she%20was%20such%20great%20fun%20to%20be%20with.","A%20positive%2C%20easy-going%20attitude%20seems%20to%20go%20hand-in-hand%20with%20a%20natural%20joie%20de%20vivre."]				j	joie de vivre
Join the club!	["You%20can%20say%20%22Join%20the%20club%21%22%20to%20someone%20who%20has%20just%20experienced%20something%20unpleasant%20that%20you%27ve%20also%20experienced%2C%20or%20to%20someone%20who%27s%20in%20an%20unfortunate%20position%20that%27s%20similar%20to%20your%20own.",""]	["You%20were%20conned%20by%20a%20bank%20into%20taking%20out%20a%20mortgage%2C%20and%20now%20they%20own%20your%20home%3F%20Join%20the%20club%21%20We%20lost%20ours%20last%20month.","Peter%3A%20%22Bobby%20here%20just%20got%20sacked%20because%20a%20machine%20can%20do%20his%20job%20cheaper.%22%20Paul%3A%20%22Yeah%3F%20Join%20the%20club%2C%20Bobby%21%22"]				j	join the club!
join the ranks of	["If%20someone%20joins%20the%20ranks%20of%20a%20group%20or%20class%20of%20people%2C%20they%20become%20part%20of%20that%20group.",""]	["Because%20of%20the%20economic%20slowdown%2C%20more%20and%20more%20people%20are%20losing%20their%20jobs%20and%20joining%20the%20ranks%20of%20the%20unemployed.","In%20a%20few%20years%20our%20country%20should%20be%20able%20to%20join%20the%20ranks%20of%20the%20world%27s%20most%20developed%20nations."]				j	join the ranks of
joined at the hip	["If%20two%20people%20or%20things%20are%20joined%20at%20the%20hip%2C%20they%27re%20so%20closely%20linked%20as%20to%20be%20almost%20inseparable.",""]	["Kim%20and%20Meg%20have%20been%20joined%20at%20the%20hip%20since%20meeting%20in%20high%20school.%20They%27re%20more%20like%20soulmates%20than%20friends.","The%20two%20clubs%20were%20so%20closely%20tied%20after%20sharing%20the%20same%20ground%20and%20the%20same%20staff%20for%20so%20long%20that%20they%20were%20practically%20joined%20at%20the%20hip."]				body,j	joined at the hip
Joshing me	["Tricking%20me."]	["I%20know%20you%20didn%27t%20box%20with%20Mike%20Tyson.%20Stop%20joshing%20me."]	USA, 19th century.	Mostly USA.	https://www.phrases.org.uk/idioms/audio/joshing-me.mp3	conflict,america	joshing me
jump down your throat | jump all over you	["If%20someone%20jumps%20down%20your%20throat%2C%20or%20jumps%20all%20over%20you%2C%20they%20strongly%20criticise%20you%20or%20scold%20you.",""]	["All%20I%20did%20was%20come%20twenty%20minutes%20late%2C%20and%20the%20manager%20jumped%20down%20my%20throat.%20I%20don%27t%20understand%20why%20he%20got%20so%20mad.","Janie%27s%20parents%20jumped%20all%20over%20her%20for%20forgetting%20to%20call%20them%20and%20tell%20them%20she%27d%20be%20getting%20home%20late."]				body,j	jump down your throat,jump all over you
jump for joy	["You%20can%20say%20someone%20%22jumped%20for%20joy%22%20if%20they%20were%20very%20happy%20about%20something.",""]	["As%20soon%20as%20we%20heard%20that%20the%20Free%20Democracy%20Party%20had%20won%20the%20election%2C%20we%20were%20all%20jumping%20for%20joy.","When%20she%20heard%20her%20name%2C%20Louise%20jumped%20for%20joy.%20She%20had%20never%20won%20a%20raffle%20prize%20before."]				j	jump for joy
Jump on the bandwagon	["Join%20a%20popular%20trend.","If%20someone%20jumps%20on%20the%20bandwagon%2C%20they%20join%20a%20movement%20or%20follow%20a%20fashion%20that%20has%20recently%20become%20popular."]	["The%20Beatles%20started%20getting%20popular%20in%20America%20in%20February%20",".%20By%20March%20millions%20had%20jumped%20on%20the%20bandwagon.","It%20seems%20that%20politicians%20all%20over%20the%20world%20are%20now%20jumping%20on%20the%20%22war%20on%20terror%22%20bandwagon.","I%20remember%20when%20punk%20became%20popular%2C%20lots%20of%20long-haired%20hippies%20jumped%20on%20the%20bandwagon%20and%20cut%20their%20hair%20short%20and%20wore%20black%20clothes."]	USA, 19th century.	Worldwide.	https://www.phrases.org.uk/idioms/audio/jump-on-the-bandwaggon.mp3	america,j,transport	jump on the bandwagon
jump out of your skin	["You%20jump%20out%20of%20your%20skin%20when%20something%20suddenly%20shocks%20you%20and%20your%20whole%20body%20jumps.",""]	["Luke%20was%20watching%20the%20clouds%20pass%20in%20front%20of%20the%20moon%20when%20I%20quietly%20snuck%20up%20behind%20him%20and%20tapped%20him%20on%20the%20shoulder.%20He%20screamed%20and%20nearly%20jumped%20out%20of%20his%20skin%21","Ollie%20didn%27t%20know%20I%20was%20making%20some%20toast%2C%20and%20when%20it%20suddenly%20popped%20up%20just%20as%20he%20was%20walking%20past%20he%20jumped%20out%20of%20his%20skin.%20It%20was%20really%20funny%21"]				body,j	jump out of your skin
jump the gun	["If%20you%20jump%20the%20gun%2C%20you%20start%20doing%20something%20too%20soon.",""]	["If%20you%27re%20in%20a%20debate%2C%20wait%20until%20you%27re%20invited%20to%20speak%20and%20don%27t%20jump%20the%20gun%20by%20speaking%20before%20you%20should.","The%20company%20jumped%20the%20gun%20and%20released%20the%20product%20before%20the%20public%20was%20ready%20for%20it."]	Metaphorical derivation from athletics, in which an official starter fires a gun to signal the start of a race. A runner who begins running before the race has been started has "jumped the gun".			j,sports	jump the gun
Jump the shark	["Introduce%20a%20ridiculous%20or%20unbelievable%20plot%20device%20into%20a%20TV%20series%20in%20order%20to%20boost%20flagging%20ratings."]	["Melodrama%20turned%20into%20jumping%20the%20shark%20when%20one%20of%20the%20main%20characters%20was%20killed%20by%20a%20milk%20truck%20in%20order%20to%20boost%20Christmas%20ratings."]	USA, 1977. Deriving from the American TV series Happy Days.	Mostly USA.	https://www.phrases.org.uk/idioms/audio/jump-the-shark.mp3	animals,america	jump the shark
jump through hoops | go through hoops	["You%20can%20say%20you%20had%20to%20%22jump%20through%20hoops%22%20or%20%22go%20through%20hoops%22%20if%20you%20had%20to%20complete%20a%20lot%20of%20tasks%20before%20being%20permitted%20to%20do%20something.",""]	["The%20insurance%20company%20made%20me%20jump%20through%20hoops%20before%20they%27d%20give%20me%20a%20health%20insurance%20policy.%20I%20had%20to%20do%20medical%20tests%2C%20questionnaires%2C%20interviews%20-%20you%20name%20it%21","The%20defence%20department%20makes%20you%20go%20through%20hoops%20before%20they%20give%20you%20clearance%20to%20work%20in%20one%20of%20their%20special%20sections."]	Probably related to the fact that trained circus animals jump through hoops to please their trainers.			j,sports	jump through hoops,go through hoops
jump to conclusions	["If%20you%20jump%20to%20conclusions%2C%20you%20decide%20something%20is%20true%2C%20or%20make%20a%20judgement%20about%20something%2C%20before%20%20having%20enough%20information%20to%20be%20sure%20you%27re%20right.",""]	["When%20Tom%20and%20Madonna%20were%20seen%20together%2C%20people%20jumped%20to%20conclusions%20and%20thought%20they%20were%20dating.","If%20you%20jump%20to%20conclusions%20before%20having%20all%20the%20facts%2C%20you%20could%20easily%20make%20a%20fool%20of%20yourself."]				j	jump to conclusions
junk food	["Food%20that%20is%20bad%20for%20us%20because%20it%20contains%20large%20amounts%20of%20harmful%20substances%20like%20artificial%20colouring%2C%20preservatives%2C%20salt%2C%20refined%20sugar%2C%20and%20so%20on.",""]	["No%20wonder%20people%20in%20Western%20societies%20are%20so%20unhealthy%2C%20overweight%20and%20unattractive.%20Have%20you%20seen%20the%20sort%20of%20junk%20food%20they%27re%20addicted%20to%3F","Food%20companies%20spend%20millions%20developing%20and%20advertising%20junk%20foods%20that%20make%20us%20fat%2C%20sick%20and%20ugly%20because%20the%20profits%20from%20this%20sort%20of%20food%20are%20far%20greater%20than%20the%20profits%20made%20by%20selling%20healthy%20foods."]	Probably related to the fact that junk is something useless and of no value, and this is a good description of the foods that are called junk foods.			food,health,j	junk food
Just deserts	["The%20result%20which%20is%20deserved.%20A%20reward%20for%20what%20has%20been%20done%20-%20good%20or%20bad."]	["The%20British%20paedophile%20Jimmy%20Saville%20abused%20hundreds%20of%20victims%20but%20died%20before%20the%20truth%20came%20out.%20Some%20say%20he%20evaded%20his%20just%20deserts."]	Britain - 13th century. (note: the spelling is 'deserts', not 'desserts'.	Worldwide.	https://www.phrases.org.uk/idioms/audio/just-deserts.m4a	legal	just deserts
just in case	["You%20can%20say%20%22just%20in%20case%22%20when%20describing%20a%20possible%20future%20problem%20and%20a%20precaution%20that%20has%20been%2C%20or%20should%20be%2C%20taken%20against%20it.",""]	["I%27m%20taking%20an%20umbrella%2C%20just%20in%20case%20it%20rains.","You%20probably%20won%27t%20need%20to%20go%20to%20a%20hospital%20in%20Europe%2C%20but%20you%20should%20get%20some%20health%20insurance%20anyway%2C%20just%20in%20case."]				j	just in case
just in time | just in the nick of time	["If%20you%20do%20something%20just%20in%20time%2C%20or%20just%20in%20the%20nick%20of%20time%2C%20you%20do%20it%20just%20before%20time%20runs%20out.",""]	["Jamie%20got%20his%20application%20form%20in%20just%20in%20time.%20If%20it%20had%20arrived%20a%20day%20later%2C%20it%20would%27ve%20missed%20the%20deadline.","I%20got%20to%20the%20station%20just%20in%20the%20nick%20of%20time%20and%20jumped%20on%20the%20train%20just%20as%20it%20was%20leaving."]				j,time	just in time,just in the nick of time
Just my luck!	["You%20can%20say%20%22Just%20my%20luck%21%22%20when%20something%20goes%20wrong%20for%20you%2C%20or%20when%20something%20inconvenient%20happens.",""]	["Just%20as%20Leon%20got%20to%20the%20park%20for%20his%20run%2C%20it%20started%20to%20rain.%20%22Just%20my%20luck%21%22%20he%20said.","A%20police%20car%20behind%20him%20started%20wailing%20and%20flashing%20its%20lights.%20After%20a%20lop-sided%20smile%20and%20a%20quick%20look%20to%20the%20heavens%2C%20Kenny%20said%2C%20%22Just%20my%20luck%21%22"]				j	just my luck!
just shy of	["You%20can%20say%20something%20is%20just%20shy%20of%20an%20amount%20if%20it%27s%20just%20short%20of%20that%20amount.",""]	["Luckily%20our%20boxer%27s%20weight%20is%20just%20shy%20of%2060%20kilos.%20If%20he%20was%20over%2060%20kilos%2C%20he%20couldn%27t%20fight.","We%27ve%20counted%20the%20bricks%20and%20there%20are%20just%20shy%20of%20a%20thousand."]				j	just shy of
just the ticket	["You%20can%20say%20something%20is%20just%20the%20ticket%20if%20it%27s%20the%20perfect%20thing%20or%20if%20it%27s%20exactly%20what%27s%20needed.",""]	["That%27s%20just%20the%20ticket%21%20Edna%20loves%20brooches%2C%20especially%20if%20they%20have%20bird%20designs%2C%20so%20she%27ll%20absolutely%20love%20this%20one.","As%20soon%20as%20he%20saw%20the%20painting%2C%20grandpa%20said%2C%20%22That%20one%27s%20just%20the%20ticket.%20It%27ll%20look%20lovely%20over%20the%20fireplace.%22"]				british,j	just the ticket
just what the doctor ordered	["You%20can%20say%20something%20was%20just%20what%20the%20doctor%20ordered%20when%20it%20was%20exactly%20what%20was%20needed.",""]	["That%20was%20a%20great%20meal%2C%20Ken.%20Just%20what%20the%20doctor%20ordered%21","Kathie%20said%20she%20had%20a%20great%20time%20at%20the%20beach.%20After%20all%20those%20problems%20at%20work%20it%20was%20just%20what%20the%20doctor%20ordered."]				health,j	just what the doctor ordered
